ref,time,mean.speed,mean.temp,mean.odba,date,divenum,Animal,Swim,Depth,Fish_rate,time_dive,vo2.mean,mass,vo2_mlkg,dmr,amr,recovery_time,strokes
Hazy42339amr1,1,0.855,9.657,0.552,01/12/15,1_1,Hazy,swim1,10,10,61.99999998,3.085500731,173.5,17.78386588,17.2101928,3.43097091,4.15,17
Hazy42339amr2,3.5,0.897,9.739,0.574,01/12/15,1_2,Hazy,swim2,10,5,210,4.432549121,173.5,25.54783355,7.299381014,3.016273146,4.97,45
Boni42339amr1,3.5,1.018,9.741,0.482,01/12/15,1_3,Boni,swim1,10,5,212,3.898285067,157.5,24.7510163,7.005004613,3.431286918,3.68,26
Boni42339amr2,3.4,0.744,9.698,0.407,01/12/15,1_4,Boni,swim2,10,10,205,3.893554293,157.5,24.72097964,7.235408675,3.697055778,3.27,NA
Boni42339amr3,2.1,0.875,9.666,0.371,01/12/15,1_5,Boni,swim3,10,10,123,2.832492816,157.5,17.98408137,8.77272262,3.01240894,3.92,NA
Yasha42339amr1,3.5,0.549,9.674,0.32,01/12/15,1_6,Yasha,swim1,10,10,208,5.545220068,216,25.67231513,7.405475518,5.097084407,1.57,27
Yasha42339amr2,3.7,0.596,9.678,0.297,01/12/15,1_7,Yasha,swim2,10,10,221,6.383053641,216,29.55117426,8.022943239,4.293148803,3.2,22
Yasha42339amr3,1.7,0.507,9.637,0.315,01/12/15,1_8,Yasha,swim3,10,10,99,4.484642877,216,20.76223554,12.58317306,4.862350244,2.62,10
Sitka42339amr1,3.5,0.751,9.67,0.396,01/12/15,1_9,Sitka,swim1,10,10,210,6.823579998,230,29.66773912,8.476496892,3.92950187,4.05,NA
Sitka42339amr2,2.7,0.76,9.667,0.43,01/12/15,1_10,Sitka,swim2,10,10,160,5.55156307,230,24.13723074,9.051461527,3.425340218,4.38,NA
Sitka42339amr3,1.9,0.689,9.657,0.363,01/12/15,1_11,Sitka,swim3,10,10,112,4.815296636,230,20.93607233,11.21575303,4.564550653,2.72,NA
Sitka42340amr1,2.9,0.771,9.718,0.404,02/12/15,2_1,Sitka,swim1,10,10,172,6.546191095,230.5,28.39996137,9.906963267,5.291918267,2.5,NA
Sitka42340amr2,3.3,0.829,9.722,0.414,02/12/15,2_2,Sitka,swim2,10,10,199,5.852924994,230.5,25.39229932,7.655969645,3.48476203,3.97,NA
Sitka42340amr3,1.8,0.99,9.7,0.425,02/12/15,2_3,Sitka,swim3,10,10,110,4.75266866,230.5,20.61895297,11.24670162,4.24841064,3.02,NA
Boni42341amr1,1.6,0.781,9.658,0.781,03/12/15,3_1,Boni,swim1,10,10,94.00000002,2.913208626,159.5,18.26463088,11.65827503,3.322855831,3.93,NA
Boni42341amr2,2.8,0.903,9.645,0.903,03/12/15,3_2,Boni,swim2,10,10,165,3.778188721,159.5,23.68770358,8.613710393,3.52495589,3.97,NA
Boni42341amr3,2.3,0.989,9.666,0.989,03/12/15,3_3,Boni,swim3,10,10,137,4.238308685,159.5,26.57246824,11.63757733,5.196701743,2.83,NA
Hazy42341amr1,2.6,0.951,9.667,0.951,03/12/15,3_4,Hazy,swim1,10,10,153,4.218295775,174.5,24.17361476,9.479848924,3.014166428,5.47,NA
Hazy42341amr2,3.1,1.032,9.665,1.032,03/12/15,3_5,Hazy,swim2,10,10,186,4.527454577,174.5,25.94529844,8.369451108,3.317813099,4.72,NA
Hazy42341amr3,1.5,0.937,9.65,0.937,03/12/15,3_6,Hazy,swim3,10,10,87,3.530951608,174.5,20.2346797,13.95495152,4.476699049,3.07,NA
Yasha42341amr1,3.2,0.635,9.706,0.635,03/12/15,3_7,Yasha,swim1,10,10,191,6.553727585,217,30.20150961,9.487385217,5.107357882,2.73,NA
Yasha42341amr2,2.3,0.596,9.706,0.596,03/12/15,3_8,Yasha,swim2,10,10,139,4.775297426,217,22.00597892,9.498983707,4.085268364,3.07,NA
Yasha42341amr3,1.5,0.758,9.68,0.758,03/12/15,3_9,Yasha,swim3,10,10,88.99999998,3.871944109,217,17.84306041,12.02902949,4.445945285,2.53,NA
Hazy42342amr1,3.4,0.969,9.681,0.558,04/12/15,4_1,Hazy,swim1,10,10,205,5.225803431,174.5,29.9472976,8.765062712,3.600877467,4.9,NA
Hazy42342amr2,2.3,1.001,9.631,0.489,04/12/15,4_2,Hazy,swim2,10,10,140,4.289417761,174.5,24.58119061,10.53479597,3.85083926,4.05,NA
Hazy42342amr3,1.4,0.958,9.656,0.56,04/12/15,4_3,Hazy,swim3,10,10,84,3.805221315,174.5,21.80642587,15.57601848,4.562013781,3.38,NA
Boni42342amr1,1.8,0.808,9.656,0.451,04/12/15,4_4,Boni,swim1,10,10,110,2.877153833,159.5,18.03858203,9.839226559,2.752581184,4.72,NA
Boni42342amr2,2.7,0.845,9.669,0.446,04/12/15,4_5,Boni,swim2,10,10,159,3.715499548,159.5,23.29466801,8.790440759,3.806318303,3.47,NA
Boni42342amr3,3.2,0.959,9.674,0.428,04/12/15,4_6,Boni,swim3,10,10,191,4.341744609,159.5,27.22096934,8.551089844,3.983556488,3.65,NA
Yasha42342amr1,3.6,0.666,9.665,0.299,04/12/15,4_7,Yasha,swim1,10,10,213,5.961131135,217.5,27.40749947,7.720422386,3.954906129,3.38,NA
Yasha42342amr2,2.5,0.586,9.663,0.303,04/12/15,4_8,Yasha,swim2,10,10,150,5.777549567,217.5,26.56344629,10.62537851,5.312689257,2.5,NA
Yasha42342amr3,1.9,0.622,9.652,0.331,04/12/15,4_9,Yasha,swim3,10,10,116,4.729639264,217.5,21.74546788,11.2476558,4.983682478,2.43,NA
Sitka42342amr1,3.3,0.911,9.691,0.526,04/12/15,4_10,Sitka,swim1,10,10,195,6.253318052,233,26.8382749,8.257930739,3.727538181,3.95,NA
Sitka42342amr2,2.7,0.791,9.681,0.34,04/12/15,4_11,Sitka,swim2,10,10,159,5.469002364,233,23.47211315,8.857401189,4.082106635,3.1,NA
Sitka42342amr3,1.9,0.623,9.671,0.348,04/12/15,4_12,Sitka,swim3,10,10,115,4.534438318,233,19.46110866,10.15362191,4.280302491,2.63,NA
Sitka42346amr1,3.6,0.851,9.701,0.513,08/12/15,5_1,Sitka,swim1,10,10,217,5.442597457,232,23.4594718,6.486489898,2.531597676,5.65,NA
Sitka42346amr2,2.5,0.764,9.675,0.368,08/12/15,5_2,Sitka,swim2,10,10,148,5.245510839,232,22.60996051,9.166200208,4.03989765,3.13,NA
Sitka42346amr3,1.7,0.697,9.667,0.358,08/12/15,5_3,Sitka,swim3,10,10,100,3.976567867,232,17.14037874,10.28422724,2.972320012,4.1,NA
Yasha42346amr1,3.4,0.56,9.756,0.333,08/12/15,5_4,Yasha,swim1,10,10,203,6.390569557,218,29.31453925,8.664395838,3.407346678,5.22,NA
Yasha42346amr2,2.4,0.694,9.738,0.307,08/12/15,5_5,Yasha,swim2,10,10,146,4.916296493,218,22.55181878,9.26787073,4.212668513,2.92,NA
Yasha42346amr3,1.4,0.713,9.688,0.343,08/12/15,5_6,Yasha,swim3,10,10,85.99999998,3.754577175,218,17.22283108,12.01592866,3.97449948,2.9,NA
Boni42346amr1,3.5,0.888,9.728,0.408,08/12/15,5_7,Boni,swim1,10,10,211,4.541747194,158.5,28.65455643,8.148215098,4.160874602,3.37,NA
Boni42346amr2,2.5,0.752,9.741,0.398,08/12/15,5_8,Boni,swim2,10,10,152,4.12917322,158.5,26.05156606,10.28351292,4.978006253,2.7,NA
Boni42346amr3,3,0.765,9.733,0.331,08/12/15,5_9,Boni,swim3,10,10,178,,158.5,0,0,0,,NA
Hazy42346amr1,2.4,0.929,9.767,0.568,08/12/15,5_11,Hazy,swim1,10,10,142,5.47,174,31.43678161,13.28314716,5.470437635,3.38,NA
Hazy42346amr2,2.5,0.946,9.747,0.59,08/12/15,5_12,Hazy,swim2,10,10,149,5.34,174,30.68965517,12.3582504,5.419009153,3.18,NA
Hazy42346amr3,1.6,0.953,9.708,0.619,08/12/15,5_13,Hazy,swim3,10,10,94.00000002,4.36,174,25.05747126,15.99413059,5.463111467,3.02,NA
Boni42348amr1,1.7,1.009,9.524,0.416,10/12/15,6_1,Boni,swim1,10,10,100,2.49,160,15.5625,9.3375,3.053466318,3.43,NA
Boni42348amr2,0.4,0.851,9.277,0.515,10/12/15,6_2,Boni,swim2,10,10,26,2.01,160,12.5625,28.99038462,3.505813953,3.15,NA
Boni42348amr3,2.7,0.885,9.564,0.5,10/12/15,6_3,Boni,swim3,10,5,163,3.73,160,23.3125,8.581288344,3.920263453,3.23,NA
Hazy42348amr1,2.2,1.086,9.542,0.675,10/12/15,6_4,Hazy,swim1,10,5,132,3.75,174.5,21.48997135,9.768168794,2.783675045,5.52,NA
Hazy42348amr2,1.2,1.074,9.467,0.59,10/12/15,6_5,Hazy,swim2,10,5,71,3.35,174.5,19.19770774,16.22341499,4.556417975,3.03,NA
Yasha42348amr1,1.1,1.06,9.453,0.376,10/12/15,6_6,Yasha,swim1,10,10,63,3.43,217.5,15.77011494,15.01915709,4.531642225,2.43,NA
Yasha42348amr2,3,0.741,9.573,0.347,10/12/15,6_7,Yasha,swim2,10,10,182,4.87,217.5,22.3908046,7.381583933,3.469649473,3.42,NA
Sitka42348amr1,2.2,0.907,9.541,0.454,10/12/15,6_8,Sitka,swim1,10,10,134,4.72,231.5,20.3887689,9.129299507,3.632203485,3.38,NA
Sitka42348amr2,1.3,0.701,9.489,0.44,10/12/15,6_9,Sitka,swim2,10,10,77,3.38,231.5,14.60043197,11.37695997,3.002145024,3.58,NA
Sitka42325amr1,2.9,0.84,11.142,,17/11/15,,Sitka,swim1,10,10,176,4.96,231,21.47186147,7.319952774,2.633507131,5.22,NA
Sitka42325amr2,1.7,0.547,9.87,,17/11/15,,Sitka,swim2,10,10,100,3.97,231,17.18614719,10.31168831,2.43890452,5.38,NA
Sitka42325amr3,2.3,0.509,9.91,,17/11/15,,Sitka,swim3,10,10,138,4.36,231,18.87445887,8.206286467,3.034478919,3.92,NA
Yasha42325amr1,1.4,0.351,9.802,,17/11/15,,Yasha,swim1,10,10,86,3.94,216.5,18.19861432,12.69670766,4.329567245,2.77,NA
Yasha42325amr2,2.7,0.536,10.107,,17/11/15,,Yasha,swim2,10,10,162,4.76,216.5,21.98614319,8.143015995,3.592507057,3.42,NA
Yasha42325amr3,2.2,0.573,10.179,,17/11/15,,Yasha,swim3,10,10,132,4.46,216.5,20.60046189,9.363846315,3.901602631,3.08,NA
Hazy42325amr1,0.7,1.084,9.644,,17/11/15,,Hazy,swim1,10,10,40,3.17,172.5,18.37681159,27.56521739,2.48447205,6.73,NA
Hazy42325amr2,1.6,0.937,9.617,,17/11/15,,Hazy,swim2,10,5,96,3.91,172.5,22.66666667,14.16666667,3.135085293,5.63,NA
Hazy42325amr3,2.7,1.082,9.895,,17/11/15,,Hazy,swim3,10,7,162,3.37,172.5,19.53623188,7.235641439,1.820711266,8.03,NA
Boni42325amr1,1,1.029,10.098,,17/11/15,,Boni,swim1,10,10,60,2.37,156,15.19230769,15.19230769,2.490542245,5.1,NA
Boni42325amr2,2.5,0.996,10.059,,17/11/15,,Boni,swim2,10,5,150,3.66,156,23.46153846,9.384615385,3.609467456,4,NA
Boni42325amr3,2.5,1.064,10.088,,17/11/15,,Boni,swim3,20,5,152,3.65,156,23.3974359,9.23582996,3.930140408,3.42,NA
Yasha42326amr1,2.8,0.791,11.004,0.196,18/11/15,7_1,Yasha,swim1,20,10,169,4.65,215,21.62790698,7.678546856,3.163516379,4.02,NA
Yasha42326amr2,1.8,0.793,10.932,0.196,18/11/15,7_2,Yasha,swim2,20,10,109,4.04,215,18.79069767,10.34350331,2.870269502,4.73,NA
Sitka42326amr1,1.5,0.911,10.828,0.234,18/11/15,7_4,Sitka,swim1,20,10,90,4.6,230.5,19.95661605,13.3044107,4.903345467,2.57,16
Sitka42326amr2,2.9,1.024,11.003,0.254,18/11/15,7_5,Sitka,swim2,20,10,171,5.85,230.5,25.37960954,8.905126156,4.194976784,3.2,25
Sitka42326amr3,2.3,1.036,10.93,0.233,18/11/15,7_6,Sitka,swim3,20,10,136,5.03,230.5,21.82212581,9.627408447,3.830683291,3.43,25
Boni42327amr1,2.3,0.883,10.646,0.454,19/11/15,8_2,Boni,swim1,20,10,136,3.18,156.5,20.31948882,8.964480361,3.637140003,3.32,29
Boni42327amr2,1.5,0.794,10.537,0.389,19/11/15,8_3,Boni,swim2,20,10,90,2.6,156.5,16.61341853,11.07561235,3.411379575,3.37,21
Boni42327amr3,2.8,0.884,10.628,0.435,19/11/15,8_4,Boni,swim3,20,10,165,3.81,156.5,24.34504792,8.852744699,3.913994843,3.47,34
Hazy42327amr1,1.7,0.994,10.538,0.515,19/11/15,8_5,Hazy,swim1,20,10,100,3.26,171.5,19.00874636,11.40524781,2.518826814,5.88,18
Hazy42327amr2,3.1,0.912,10.751,0.493,19/11/15,8_6,Hazy,swim2,20,10,185,3.96,171.5,23.09037901,7.48877157,2.608100039,5.77,NA
Hazy42327amr3,1.8,0.936,10.563,0.454,19/11/15,8_7,Hazy,swim3,20,10,107,3.31,171.5,19.30029155,10.82259339,4.034904156,3,NA
Hazy42328amr1,2.3,0.845,10.251,0.54,20/11/15,9_1,Hazy,swim1,10,10,140,4.49,174.5,25.73065903,11.0274253,2.546749491,7.77,34
Hazy42328amr2,2.5,0.549,10.291,0.525,20/11/15,9_2,Hazy,swim2,10,10,147,3.8,174.5,21.7765043,8.888369101,2.139145805,7.73,28
Boni42328amr1,2.5,0.897,10.236,0.408,20/11/15,9_3,Boni,swim1,10,10,148,3.09,157.5,19.61904762,7.953667954,2.503493954,5.37,27
Boni42328amr2,2,0.797,10.181,0.414,20/11/15,9_4,Boni,swim2,10,10,120,2.98,157.5,18.92063492,9.46031746,2.832430377,4.68,17
Boni42328amr3,1.3,0.875,10.037,0.492,20/11/15,9_5,Boni,swim3,10,10,76.00000002,2.49,157.5,15.80952381,12.481203,2.82986703,4.32,14
Yasha42328amr1,1.9,0.513,10.21,0.37,20/11/15,9_6,Yasha,swim1,10,10,114,4.54,215,21.11627907,11.11383109,4.156747848,3.18,NA
Yasha42328amr2,2.5,0.537,10.289,0.303,20/11/15,9_7,Yasha,swim2,10,10,152,4.4,215,20.46511628,8.078335373,3.14686565,3.97,NA
Yasha42328amr3,1.4,0.682,10.136,0.363,20/11/15,9_8,Yasha,swim3,10,10,82.99999998,3.45,215,16.04651163,11.59988793,3.644173723,3.02,NA
Sitka42328amr1,2.9,0.685,10.429,0.396,20/11/15,9_9,Sitka,swim1,10,10,176,5.83,231,25.23809524,8.603896104,4.081632653,3.25,NA
Sitka42328amr2,1.6,0.696,10.346,0.45,20/11/15,9_10,Sitka,swim2,10,10,97.00000002,4.09,231,17.70562771,10.95193466,3.564891484,3.35,NA
Sitka42328amr3,2.2,0.947,10.399,0.363,20/11/15,9_11,Sitka,swim3,10,10,133,4.67,231,20.21645022,9.120203105,3.631697644,3.35,NA
Hazy42332amr1,2.6,0.862,10.23,0.55,24/11/15,10_1,Hazy,swim1,10,10,158,4.27,173,24.68208092,9.372942123,2.885668074,5.92,37
Hazy42332amr2,2.1,0.874,10.158,0.564,24/11/15,10_2,Hazy,swim2,10,10,125,3.74,173,21.61849711,10.37687861,2.766872497,5.73,NA
Hazy42332amr3,1.2,0.902,10.029,0.543,24/11/15,10_3,Hazy,swim3,10,10,72,3.18,173,18.38150289,15.31791908,4.013428579,3.38,NA
Boni42332amr1,2.4,0.676,10.19,0.5,24/11/15,10_4,Boni,swim1,10,10,142,3.61,155,23.29032258,9.840981372,4.380624937,2.95,29
Boni42332amr2,1.6,0.712,10.114,0.471,24/11/15,10_5,Boni,swim2,10,10,97.00000002,3.16,155,20.38709677,12.61057532,4.121380749,3.33,22
Boni42332amr3,2.8,0.891,10.208,0.594,24/11/15,10_6,Boni,swim3,10,5,166,4.1,155,26.4516129,9.560823941,4.109520389,3.67,32
Yasha42332amr1,1.1,0.727,9.92,0.36,24/11/15,10_7,Yasha,swim1,10,10,67.99999998,3.29,214.5,15.33799534,13.5335253,3.515201376,3.23,11
Yasha42332amr2,3.2,0.579,10.146,0.34,24/11/15,10_8,Yasha,swim2,10,10,193,5.77,214.5,26.8997669,8.362621834,4.179145557,3.22,21
Yasha42332amr3,2.3,0.552,10.139,0.303,24/11/15,10_9,Yasha,swim3,10,10,139,4.57,214.5,21.30536131,9.196558837,3.9699431,3.05,15
Yasha42333amr1,3,0.653,10.181,0.377,25/11/15,11_1,Yasha,swim1,20,10,182,5.97,215,27.76744186,9.154101712,4.384332925,3.3,23
Yasha42333amr2,3.2,0.736,10.168,0.343,25/11/15,11_2,Yasha,swim2,20,10,190,5.91,215,27.48837209,8.680538556,4.154413918,3.45,21
Yasha42333amr3,1.5,0.924,10.015,0.369,25/11/15,11_3,Yasha,swim3,20,10,90,4.28,215,19.90697674,13.27131783,4.217579819,3.22,19
Yasha42333amr4,1.6,1.006,9.964,0.353,25/11/15,11_4,Yasha,swim4,20,10,98,4.09,215,19.02325581,11.64689131,3.437937798,3.9,20
Hazy42333amr1,1,0.926,9.881,0.465,25/11/15,11_11,Hazy,swim1,20,10,57,2.9,173,16.76300578,17.64526924,3.254952579,4.2,NA
Hazy42333amr2,3.4,0.752,10.125,0.53,25/11/15,11_12,Hazy,swim2,20,10,202,4.43,173,25.60693642,7.606020718,3.135543235,4.8,NA
Hazy42333amr3,2.5,0.855,10.062,0.422,25/11/15,11_13,Hazy,swim3,20,10,151,3.69,173,21.32947977,8.475289974,3.161484155,4.23,NA
Hazy42334amr1,1.4,0.782,9.747,0.549,26/11/15,12_2,Hazy,swim1,10,10,82,3.51,173,20.28901734,14.84562244,3.874414515,3.87,18
Hazy42334amr2,3.2,0.874,9.984,0.507,26/11/15,12_3,Hazy,swim2,10,5,194,4.33,173,25.02890173,7.740897444,2.915988552,5.35,NA
Hazy42334amr3,1.1,1.017,9.733,0.447,26/11/15,12_4,Hazy,swim3,10,10,63,3.6,173,20.80924855,19.81833196,3.002777569,5.88,NA
Sitka42334amr1,1.8,0.744,9.744,0.346,26/11/15,12_5,Sitka,swim1,10,10,105,4.21,231,18.22510823,10.41434756,2.98772266,4.35,13
Sitka42334amr2,2.9,0.85,9.885,0.407,26/11/15,12_6,Sitka,swim2,10,10,175,5.2,231,22.51082251,7.717996289,2.97499857,4.65,19
Sitka42334amr3,2.5,0.702,9.852,0.383,26/11/15,12_7,Sitka,swim3,10,10,152,4.38,231,18.96103896,7.484620643,2.533769126,4.95,15
Yasha42334amr1,2.5,0.575,9.886,0.324,26/11/15,12_8,Yasha,swim1,10,10,150,4.54,215,21.11627907,8.446511628,3.233733395,4.03,15
Yasha42334amr2,3.4,0.599,9.904,0.359,26/11/15,12_9,Yasha,swim2,10,10,206,6.13,215,28.51162791,8.304357643,4.350706191,3.12,21
Yasha42334amr3,1.5,0.671,9.793,0.403,26/11/15,12_10,Yasha,swim3,10,10,91,3.82,215,17.76744186,11.71479683,3.711861113,3.27,11
Boni42334amr1,2.8,0.891,9.906,0.466,26/11/15,12_12,Boni,swim1,10,10,166,4.26,155,27.48387097,9.933929265,5.169380119,2.55,NA
Boni42334amr2,3.7,0.968,9.922,0.5,26/11/15,12_13,Boni,swim2,10,10,221,4.62,155,29.80645161,8.092249307,4.149390016,3.5,NA
Sitka42335amr1,1.5,0.773,9.777,0.423,27/11/15,13_1,Sitka,swim1,10,10,88.99999998,3.7,232,15.94827586,10.75164665,1.873329193,7.03,12
Sitka42335amr2,2.2,0.607,9.805,0.405,27/11/15,13_2,Sitka,swim2,10,10,133,4.6,232,19.82758621,8.944775732,2.974137931,4.45,19
Sitka42335amr3,3.2,0.864,9.828,0.463,27/11/15,13_3,Sitka,swim3,10,10,191,4.85,232,20.90517241,6.567069868,2.232663483,6.18,29
Yasha42335amr1,1.3,0.486,9.719,0.365,27/11/15,13_4,Yasha,swim1,10,10,79.99999998,3.95,215,18.37209302,13.77906977,4.269270261,2.97,10
Yasha42335amr2,1.8,0.602,9.77,0.337,27/11/15,13_5,Yasha,swim2,10,10,105,4.45,215,20.69767442,11.82724252,4.835905238,2.53,14
Yasha42335amr3,3.5,0.709,9.865,0.334,27/11/15,13_6,Yasha,swim3,10,10,209,6.45,215,30,8.612440191,4.522613065,3.15,21
Boni42335amr1,1.9,0.881,9.774,0.389,27/11/15,13_7,Boni,swim1,10,10,115,,158,0,0,0,,NA
Boni42335amr2,1.2,0.835,9.766,0.439,27/11/15,13_8,Boni,swim2,10,10,73.99999998,2.81,158,17.78481013,14.42011632,4.221078353,2.98,NA
Boni42335amr3,1.6,0.831,9.753,0.46,27/11/15,13_9,Boni,swim3,10,10,97.99999998,2.86,158,18.10126582,11.08240765,3.129901872,4.15,NA
Hazy42335amr1,3.6,0.93,9.866,0.612,27/11/15,13_10,Hazy,swim1,10,10,213,5.57,172,32.38372093,9.12217491,4.114831122,4.32,NA
Hazy42335amr2,1.7,0.755,9.748,0.618,27/11/15,13_11,Hazy,swim2,10,10,100,4.2,172,24.41860465,14.65116279,5.289228444,2.95,NA
Hazy42335amr3,1.5,0.931,9.743,0.484,27/11/15,13_12,Hazy,swim3,10,10,87,3.38,172,19.65116279,13.55252606,4.396233287,3.02,NA
Yasha42338amr1,0.8,0.789,9.667,0.347,30/11/15,14_1,Yasha,swim1,10,10,50,3.54,216,16.38888889,19.66666667,4.732114212,2.63,9
Yasha42338amr2,3.4,0.894,9.769,0.377,30/11/15,14_2,Yasha,swim2,10,5,201,6.55,216,30.32407407,9.05196241,4.446345172,3.47,25
Yasha42338amr3,2.5,0.904,9.757,0.352,30/11/15,14_3,Yasha,swim3,10,5,148,5.23,216,24.21296296,9.816066066,4.044481564,3.52,17
Sitka42338amr1,1.7,0.834,9.708,0.411,30/11/15,14_4,Sitka,swim1,10,10,103,4.73,229.5,20.61002179,12.00583793,3.826117906,3.67,NA
Sitka42338amr2,1.8,0.721,9.701,0.48,30/11/15,14_5,Sitka,swim2,10,10,106,4.61,229.5,20.08714597,11.37008262,3.708396179,3.65,NA
Sitka42338amr3,3,0.837,9.739,0.471,30/11/15,14_6,Sitka,swim3,10,10,178,5.56,229.5,24.22657952,8.16626276,3.180732541,4.65,NA
Hazy42338amr1,3.5,0.924,9.745,0.572,30/11/15,14_7,Hazy,swim1,10,5,207,5.3,172.5,30.72463768,8.905692081,3.779168226,4.68,NA
Hazy42338amr2,2.3,0.88,9.733,0.496,30/11/15,14_8,Hazy,swim2,10,10,140,5.06,172.5,29.33333333,12.57142857,5.747877204,2.77,NA
Hazy42338amr3,1.7,0.877,9.696,0.556,30/11/15,14_9,Hazy,swim3,10,10,101,4.53,172.5,26.26086957,15.60051657,4.425989253,4.25,NA
Boni42338amr1,2.5,0.747,9.743,0.395,30/11/15,14_10,Boni,swim1,10,10,150,4,156,25.64102564,10.25641026,4.645113341,3.02,17
Boni42338amr2,2.8,0.98,9.747,0.481,30/11/15,14_11,Boni,swim2,10,10,165,4.01,156,25.70512821,9.347319347,3.769080382,4.07,23
Boni42338amr3,2.1,0.88,9.721,0.387,30/11/15,14_12,Boni,swim3,10,10,128,3.68,156,23.58974359,11.05769231,4.172714078,3.52,15
Boni42338amr4,1.6,0.884,9.705,0.403,30/11/15,14_13,Boni,swim4,10,10,96,3.44,156,22.05128205,13.78205128,4.867832682,2.93,20
